관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명,
47190-00016,산들공원,어린이공원,,경상북도 구미시 형곡동 237-3공 일원,36.108771,128.333816,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00017,성직공원,어린이공원,,경상북도 구미시 송정동 468공 일원,36.115878,128.341044,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00018,송리공원,어린이공원,,경상북도 구미시 송정동 476공 일원,36.115692,128.345434,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00019,산내공원,어린이공원,,경상북도 구미시 형곡동 173공 일원,36.110941,128.340159,1755.3,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00020,시무실공원,어린이공원,,경상북도 구미시 형곡동 332공 일원,36.105587,128.337473,2221,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00021,푸른공원,어린이공원,,경상북도 구미시 옥계동 619 공,36.138688,128.432683,1648.1,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00022,송정공원,근린공원,,경상북도 구미시 원평지구 56블럭(송정동 448),36.119586,128.354422,16497.2,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00023,생원공원,어린이공원,,경상북도 구미시 선산읍 교리 1164 일원,36.248219,128.301821,2782.6,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00024,봉곡테마공원,근린공원,,경상북도 구미시 봉곡동 292공 일원,36.150632,128.314065,11687.7,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00025,다봉공원,근린공원,,경상북도 구미시 봉곡동 산3임 일원,36.156104,128.309549,14300,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00026,야은공원,어린이공원,경상북도 구미시 송동로7길,경상북도 구미시 도량동 84공 일원,36.148276,128.323399,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00027,소롯골 공원,어린이공원,,경상북도 구미시 도량동 80공 일원,36.146067,128.324868,3800,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00028,행복공원,어린이공원,,경상북도 구미시 도량동 685-3공 일원,36.144925,128.329144,543.3,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00029,해바라기공원,어린이공원,경상북도 구미시 검성로 87,경상북도 구미시 황상동 161대 일원,36.1178665668,128.4261610032,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00030,황상공원,어린이공원,경상북도 구미시 수출대로25길 18,경상북도 구미시 황상동 268대 일원,36.1122510710,128.4231009058,1517,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00031,샛별공원,어린이공원,,경상북도 구미시 원평동 78-12공 일원,36.128211,128.327069,870.1,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00032,형일공원,어린이공원,,경상북도 구미시 형곡동 133-1공 일원,36.115041,128.331367,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00033,새싹공원,어린이공원,,경상북도 구미시 도량동 76공 일원,36.149863,128.325456,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00034,희망공원,어린이공원,경상북도 구미시 송동로 105,경상북도 구미시 도량동 113공 일원,36.1413596448,128.3222960693,1800,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00035,소담공원,어린이공원,,경상북도 구미시 도량동 89공 일원,36.146217,128.321584,2100,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00036,해나라공원,어린이공원,,경상북도 구미시 도량동 124공 일원,36.142134,128.323753,2400,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00037,초록공원,어린이공원,,경상북도 구미시 오태동 산105-3 일원(오태동 734),36.071897,128.346974,884,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00038,오태중앙공원,어린이공원,,경상북도 구미시 오태동 752-1 일원,36.070864,128.351866,2869,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00039,한누리공원,어린이공원,,경상북도 구미시 인의동 838-1공,36.104647,128.421944,1760,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00040,원평공원,근린공원,,경상북도 구미시 원평지구 56블럭(원평동 1078),36.121011,128.355118,14754.3,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00041,백산공원,어린이공원,,경상북도 구미시 송정동 43대 일원,36.120851,128.345223,1600,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00042,용호공원,어린이공원,,경상북도 구미시 선산읍 교리 887-1 일원,36.252009,128.302841,1041,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00043,I♡공원,어린이공원,,경상북도 구미시 상모동 269 일원,36.086301,128.351287,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00044,개나리공원,어린이공원,,경상북도 구미시 상모동 261-7전 일원,36.085942,128.348997,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00045,당산공원,어린이공원,,경상북도 구미시 오태동 80-3 일원,36.079701,128.374648,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00046,온누리공원,어린이공원,,경상북도 구미시 상모동 542 일원,36.084922,128.351471,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00047,중수공원,어린이공원,,경상북도 구미시 상모동 196공 일원,36.088718,128.350958,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00048,해오름공원,어린이공원,,경상북도 구미시 상모동 359-1답 일원,36.084226,128.349998,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00049,봉곡도서관공원,근린공원,경상북도 구미시 봉곡로15길 54,경상북도 구미시 봉곡동 197공 일원,36.152926,128.307697,11837.2,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00050,싸리골공원,어린이공원,,경상북도 구미시 봉곡동 217-1대 일원,36.153295,128.315664,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00051,명지공원,어린이공원,,경상북도 구미시 봉곡동 207-5공 일원,36.152762,128.312449,1500.1,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00052,지성공원,어린이공원,,경상북도 구미시 봉곡동 151-1공 일원,36.155813,128.307626,1500.2,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00053,솔밭공원,어린이공원,,경상북도 구미시 봉곡동 237-1공 일원,36.152392,128.309386,1500.3,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00054,관동공원,어린이공원,경상북도 구미시 봉곡로10길 9-8,경상북도 구미시 봉곡동 425-6공 일원,36.1467340348,128.3114800611,1502,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00055,동살공원,어린이공원,,경상북도 구미시봉곡동 249공 일원,36.151911,128.305266,1504.4,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00056,장고개공원,어린이공원,,경상북도 구미시 봉곡동 410-1공 일원,36.148832,128.315535,1565.1,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00057,경구공원,어린이공원,,경상북도 구미시 봉곡동 366-1공 일원,36.148033,128.309151,1604.4,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00058,두리공원,어린이공원,,경상북도 구미시 봉곡동 431-1공 일원,36.144762,128.309264,1621.4,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00059,성남공원,어린이공원,,경상북도 구미시 봉곡동 639번지,36.157107,128.305689,1778,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00060,갓골공원,어린이공원,,경상북도 구미시 봉곡동 437-2공 일원,36.143418,128.310838,2117.5,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00061,물꽃공원,근린공원,,경상북도 구미시 사곡동 699 일원,36.092995,128.356761,10400,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00062,늘푸른 공원,어린이공원,,경상북도 구미시 사곡동 692전 일원,36.093414,128.354377,1504,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00063,상록공원,어린이공원,,경상북도 구미시 사곡동 678-4,36.096247,128.357853,1538,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00064,삼거리공원,어린이공원,,경상북도 구미시 임은동 478-4 일원,36.086038,128.359334,1568,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00065,효자공원,어린이공원,경상북도 구미시 상사서로29길 15-12,경상북도 구미시 사곡동 603-24대 일원,36.1034022421,128.3549953669,1716,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00066,애린공원,어린이공원,,경상북도 구미시 상모동 45공 일원,36.090721,128.356096,1723,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00067,상모공원,어린이공원,,경상북도 구미시 상모동 22-1공 일원,36.088166,128.353493,2100,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00068,여울공원,어린이공원,,경상북도 구미시 상모동 63-1공 일원,36.089321,128.357428,2100,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00069,오양공원,어린이공원,,경상북도 구미시 임은동 444-5 일원,36.088683,128.359661,2100,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00070,한울공원,어린이공원,,경상북도 구미시 상모동 71공 일원,36.087036,128.356461,2100,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00071,햇빛공원,어린이공원,,경상북도 구미시 상모동 16-11공 일원,36.090531,128.353201,2100,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00072,다숲공원,어린이공원,,경상북도 구미시 상모동 76-2공 일원,36.083871,128.355255,3849,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00073,고운하늘공원,어린이공원,,경상북도 구미시 옥계동 548공 일원,36.148545,128.416715,3580.6,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00074,한울공원,어린이공원,,경상북도 구미시 옥계동 571공 일원,36.146024,128.415885,6893.6,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00075,원호공원,근린공원,경상북도 구미시 문장로 168,경상북도 구미시 고아읍 원호리 산38임 일원,36.148974,128.332301,15039,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00076,평성공원,어린이공원,,경상북도 구미시 고아읍 원호리 424공 일원,36.151953,128.327425,1535.3,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00077,초롱공원,어린이공원,,경상북도 구미시 고아읍 원호리 457공 일원,36.151358,128.332784,1563.8,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00078,퇴경공원,어린이공원,,경상북도 구미시 고아읍 원호리 436공 일원,36.150921,128.329444,1582.8,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00079,싸리공원,어린이공원,,경상북도 구미시 고아읍 원호리 451공 일원,36.152293,128.330459,1584.8,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00080,청백리공원,근린공원,경상북도 구미시 인동14길 14,경상북도 구미시 진평동 14일원,36.0994338247,128.423636,10150,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00081,푸른꿈공원,어린이공원,,경상북도 구미시 진평동 1056-1 공,36.090786,128.427665,1750,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00082,버금공원,어린이공원,,경상북도 구미시 진평동 75-1 공,36.094638,128.429665,1798,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00083,미리내공원,어린이공원,,경상북도 구미시 진평동 105-3 공,36.093703,128.427866,1940,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00084,어우름공원,어린이공원,,경상북도 구미시 진평동 99-2 공,36.092238,128.430795,1940,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00085,사계절공원,어린이공원,경상북도 구미시 인동54안길 18-26,경상북도 구미시 구평동 1002-1 공,36.0921160545,128.4453918987,1980,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00086,나들이공원,어린이공원,,경상북도 구미시 진평동 1062 공,36.091034,128.425995,2282,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00087,건강공원,어린이공원,경상북도 구미시 인동54안길 6-19,경상북도 구미시 구평동 987 공,36.092311,128.444859,3180,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00088,다정공원,어린이공원,경상북도 구미시 수출대로31길 67,경상북도 구미시 황상동 200-18,36.116925,128.4255845496,953,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00089,아름공원,어린이공원,,경상북도 구미시 진평동 19-4 공,36.096962,128.426907,1525,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00090,도토리공원,어린이공원,,경상북도 구미시 인의동 662-1 공,36.100639,128.428425,1545,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00091,인의공원,어린이공원,,경상북도 구미시 인의동 681-5 공,36.100838,128.426096,1545,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00092,색동공원,어린이공원,,경상북도 구미시 인의동 690-4 공,36.098506,128.428767,1555,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00093,토골공원,어린이공원,,경상북도 구미시 진평동 175-6 공,36.094164,128.422833,1563,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00094,희망공원,어린이공원,,경상북도 구미시 진평동 111-3 공,36.094778,128.425959,1564,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00095,비둘기공원,어린이공원,,경상북도 구미시 인의동 274-4공 일원,36.111715,128.426942,1900,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00096,이례공원,어린이공원,,경상북도 구미시 고아읍 이례리 산1임 일원,36.208232,128.328595,2500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00097,향교공원,어린이공원,,경상북도 구미시 선산읍 교리 1194 일원,36.250739,128.304406,1869,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00098,문장골공원,어린이공원,,경상북도 구미시 도량동 862-5공 일원,36.148542,128.331401,3677,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00099,매화공원,어린이공원,,경상북도 구미시 거의동 610-2 공,36.138657,128.412215,1869.5,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00100,3.1.공원,어린이공원,,경상북도 구미시 옥계동 629-1 공,36.139115,128.414598,2185.8,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00101,연화공원,어린이공원,,경상북도 구미시 고아읍 문성리 56-11답(1411),36.160937,128.349939,2123,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00102,지내공원,어린이공원,,경상북도 구미시 고아읍 문성리 1147 일원,36.161407,128.344626,2543,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00103,외골공원,어린이공원,,경상북도 구미시 고아읍 문성리 산20-1(1212),36.164613,128.345473,2625,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00104,인서공원,어린이공원,,경상북도 구미시 고아읍 문성리 산14임(1333),36.165057,128.350944,4092,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00105,해마루공원,근린공원,경상북도 구미시 해마루공원로 86,경상북도 구미시 옥계동 941,36.1416639484,128.4300579353,315302.7,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00106,가람공원,어린이공원,,경상북도 구미시 옥계동 756-1 공,36.135377,128.423318,1497,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00107,청류공원,어린이공원,,경상북도 구미시 옥계동 742-1 공,36.137573,128.423506,1499,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00108,함박공원,어린이공원,,경상북도 구미시 옥계동 798-1 공,36.137637,128.426593,1499,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00109,봉수대공원,근린공원,,경상북도 구미시 도량동 231 일원,36.139344,128.321427,73869.4,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00110,꿈동산공원,어린이공원,,경상북도 구미시 봉곡동 23공 일원,36.140027,128.314606,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00111,뜨란채공원,어린이공원,,경상북도 구미시 도량동 223공 일원,36.139618,128.318441,1503.2,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00112,참살이공원,어린이공원,,경상북도 구미시 봉곡동 16공 일원,36.140766,128.312669,1505.9,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00113,가시골공원,어린이공원,경상북도 도봉로5길 13-1,경상북도 구미시 봉곡동 4공 일원,36.142808,128.316239,1590.8,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00114,자드락공원,어린이공원,,경상북도 구미시 도량동 218공 일원,36.142925,128.320101,1758.7,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00115,구평공원,근린공원,,경상북도 구미시 구평동 474-3공 일원(715-1 일원),36.090621,128.438586,14749,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00116,구진벌공원,어린이공원,,경상북도 구미시 구평동 443-1공,36.094887,128.435286,2066.4,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00117,다솜공원,어린이공원,,경상북도 구미시 구평동 464-2공,36.091244,128.441091,2222.6,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00118,참빛공원,어린이공원,,경상북도 구미시 구평동 431-1공,36.094507,128.438114,4199.6,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00119,별빛공 원,어린이공원,,경상북도 구미시 구평동 452공,36.092834,128.434288,7435.8,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00120,하늘공원,어린이공원,,경상북도 구미시 도량동 372답 일원,36.134148,128.326084,1543,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00121,까치공원,어린이공원,경상북도 구미시 상사서로23길 13-7,경상북도 구미시 사곡동 603-110 일원,36.0992695452,128.3564345271,1686,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00122,디딜방아공원,어린이공원,,경상북도 구미시 구평동 1007 공,36.091827,128.445174,1500,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00123,두꺼비공원,어린이공원,,경상북도 구미시 구평동 1086 공,36.089752,128.446375,1510,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00124,늘푸른 공원,어린이공원,,경상북도 구미시 구평동 939공,36.093792,128.447011,1879,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00125,수변공원,수변공원,,경상북도 구미시 임은동 819 일원,36.084791,128.367028,3365,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00126,나래공원,어린이공원,,경상북도 구미시 옥계동 884 공,36.139537,128.419523,1609.1,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00127,교우공원,어린이공원,,경상북도 구미시 선산읍 교리 1344 일원,36.245597,128.304418,2034.9,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00128,백현체육공원,체육공원,,경상북도 구미시 산동면 백현리 83-3 일원,36.187349,128.478682,90967,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00129,둘모아공원,어린이공원,,경상북도 구미시 봉곡동 412-2 일원,36.148825,128.317103,4279,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00130,다붓소공원,소공원,,경상북도 구미시 봉곡동 765 일원,36.155883,128.311526,805,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00131,다붓1공원,어린이공원,,경상북도 구미시 봉곡동 457-1,36.156392,128.314372,1585,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00132,다붓2공원,어린이공원,,경상북도 구미시 봉곡동 724-1,36.154744,128.314372,1637,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00133,공원,소공원,,경상북도 구미시 광평동 77-21,36.109009,128.364271,466,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00134,새마을운동테마공원,문화공원,경상북도 구미시 박정희로 155,경상북도 구미시 상모사곡동 일원(상모동 130),36.0936171210,128.3513720556,250949,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00135,산림문화생태근린공원,근린공원,경상북도 구미시 인덕1길 240,경상북도 구미시 산동면 인덕리 산5-1일원,36.178316,128.464865,1059228,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00136,지산샛강생태공원,수변공원,,경상북도 구미시 지산동 847-72일원,36.135751,128.351884,214265,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00137,도담공원,근린공원,,경상북도 구미시 옥계동 1308,36.140792,128.422192,31553,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00138,선비공원,근린공원,,경상북도 구미시 산동면 신당리 1693,36.156353,128.435169,40107.7,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00139,무지개공원,어린이공원,,경상북도 구미시 산동면 신당리 1641,36.156482,128.438079,2260,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00140,달빛공원,어린이공원,,경상북도 구미시 옥계동 1236,36.150846,128.441371,1682.8,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00141,솔찬공원,어린이공원,,경상북도 구미시 옥계동 1085,36.164445,128.398121,1804.4,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00142,도량산림공원,근린공원,,경상북도 구미시 도량동 산29,36.141217,128.330943,65000,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
47190-00143,갈뫼공원,근린공원,,경상북도 구미시 비산동 421-1,36.123988,128.372408,10393,,,,,,,,,2019-07-01,5080000,경상북도 구미시,
46830-00001,근린공원2,근린공원,,전라남도 영암군 영암읍 서남리 970,34.798217,126.6997754857,19825,,,,,,1976-12-27,,,2019-07-31,4940000,전라남도 영암군,
46830-00002,근린공원21,근린공원,,전라남도 영암군 삼호읍 산호리 산14-3,34.743491,126.492746,53104,,,,,,2009-04-27,,,2019-07-31,4940000,전라남도 영암군,
46830-00003,근린공원35,근린공원,,전라남도 영암군 미암면 채지리 산1-2,34.7197227093,126.5723884483,202300,,,,,,1998-04-29,,,2019-07-31,4940000,전라남도 영암군,
46830-00004,근린공원1,근린공원,,전라남도 영암군 영암읍 동무리 160-1,34.8002791389,126.6964496290,21940,,,,,,1976-12-27,,,2019-07-31,4940000,전라남도 영암군,
46830-00005,근린공원7,근린공원,,전라남도 영암군 삼호읍 난전리 1695-1,34.7659236556,126.4273638826,390198,,,,,,1998-01-21,,,2019-07-31,4940000,전라남도 영암군,
46830-00006,근린공원9,근린공원,,전라남도 영암군 삼호읍 나불리 334-1,34.7692279642,126.4402175942,137896,,,,,,1998-01-21,,,2019-07-31,4940000,전라남도 영암군,
46830-00007,근린공원10,근린공원,,전라남도 영암군 삼호읍 나불리 603-1,34.7780197857,126.4503435806,82208,,,,,,1998-01-21,,,2019-07-31,4940000,전라남도 영암군,
46830-00008,근린공원11,근린공원,,전라남도 영암군 삼호읍 용앙리 1637,34.758165,126.451572,136090,,,,,,2000-01-01,,,2019-07-31,4940000,전라남도 영암군,
46830-00009,근린공원12,근린공원,,전라남도 영암군 삼호읍 용앙리 1636,34.7605608041,126.4559007758,80454,,,,,,1998-01-21,,,2019-07-31,4940000,전라남도 영암군,
46830-00010,어린이공원53,어린이공원,,전라남도 영암군 삼호읍 산호리 86,34.7409251569,126.4886338762,1545,,,,,,2011-01-05,,,2019-07-31,4940000,전라남도 영암군,
46830-00011,어린이공원13,어린이공원,,전라남도 영암군 삼호읍 용앙리 1645-1,34.756041,126.453493,1501,,,,,,1998-01-21,,,2019-07-31,4940000,전라남도 영암군,
46830-00012,어린이공원14,어린이공원,,전라남도 영암군 삼호읍 용앙리 1685-1,34.752724,126.4553643421,1500,,,,,,1998-01-21,,,2019-07-31,4940000,전라남도 영암군,
46830-00013,어린이공원17,어린이공원,,전라남도 영암군 삼호읍 용앙리 1114-13,34.7517152384,126.461415,3570,,,,,,2000-05-29,,,2019-07-31,4940000,전라남도 영암군,
46830-00014,어린이공원31,어린이공원,,전라남도 영암군 삼호읍 산호리 97-19,34.7423322789,126.4838812025,2000,,,,,,2004-10-13,,,2019-07-31,4940000,전라남도 영암군,
46830-00015,어린이공원20,어린이공원,,전라남도 영암군 삼호읍 용앙리 222,34.7469074682,126.472951,2200,,,,,,2000-05-29,,,2019-07-31,4940000,전라남도 영암군,
46830-00016,소공원48,소공원,,전라남도 영암군 삼호읍 산호리 101-10,34.742734,126.485067,1475,,,,,,2011-01-05,,,2019-07-31,4940000,전라남도 영암군,
46830-00017,역사공원42,역사공원,,전라남도 영암군 군서면 서구림리 783-2,34.761042,126.617375,59875,,,,,,2009-04-13,,,2019-07-31,4940000,전라남도 영암군,
46830-00018,마한문화공원2,문화공원,,전라남도 영암군 시종면 옥야리 915-1,34.8948150020,126.5850529707,15748,,,,,,2008-11-13,,,2019-07-31,4940000,전라남도 영암군,
46830-00019,수변공원49,수변공원,,전라남도 영암군 삼호읍 산호리 110,34.743861,126.485692,1796,,,,,,2011-01-05,,,2019-07-31,4940000,전라남도 영암군,
46830-00020,수변공원38,수변공원,,전라남도 영암군 영암읍 회문리 94-1,34.7911010299,126.687274,16021,,,,,,2009-04-27,,,2019-07-31,4940000,전라남도 영암군,
46830-00021,수변공원37,수변공원,,전라남도 영암군 미암면 채지리 2-3,34.724471,126.5751888036,29250,,,,,,2009-04-27,,,2019-07-31,4940000,전라남도 영암군,
47250-00001,계산공원,근린공원,,경상북도 상주시 계산동 490번지 일원,36.429947,128.162493,148138,,,,,,1965-12-31,경상북도 상주시청,054-537-7525,2019-05-27,5110000,경상북도 상주시,
47250-00002,냉림 제2 공원,어린이공원,,경상북도 상주시 냉림동 73-6번지 일원,36.421630,128.164850,2600,,"그네, 시소, 조합놀이대 등",,,,1985-12-07,경상북도 상주시청,054-537-7525,2019-05-27,5110000,경상북도 상주시,
47250-00003,죽전공원,어린이공원,,경상북도 상주시 화산동 1100-1번지 일원,36.435968,128.160189,2300,,,,,,1985-12-07,경상북도 상주시청,054-537-7525,2019-05-27,5110000,경상북도 상주시,
47250-00004,냉림 제1 공원,어린이공원,,경상북도 상주시 냉림동 153-1번지 일원,36.423484,128.162209,2000,,,,,,2010-06-28,경상북도 상주시청,054-537-7525,2019-05-27,5110000,경상북도 상주시,
47250-00001,낙양공원,어린이공원,,경상북도 상주시 낙양동 115번지 일원,36.411634,128.153604,2800,,"그네, 시소, 조합놀이대 등",화장실 등,,,1985-12-07,경상북도 상주시청,054-537-7525,2019-05-27,5110000,경상북도 상주시,
47250-00002,낙양동녹색쌈지공원,문화공원,,경상북도 상주시 낙양동 21-4번지 일원,36.413966,128.150546,1910,,,,,,2011-01-10,경상북도 상주시청,054-537-7525,2019-05-27,5110000,경상북도 상주시,
47250-00001,왕산공원,근린공원,,경상북도 상주시 서성동 163-48번지 일원,36.417019,128.161875,18130,,,화장실 등,,,1985-12-07,경상북도 상주시청,054-537-7525,2019-05-27,5110000,경상북도 상주시,
47250-00003,복룡생활체육공원,체육공원,경상북도 상주시 영남제일로 1432,경상북도 상주시 복룡동 130 일원,36.421517,128.185196,82670,"축구장, 테니스장, 족구장, 농구장, 게이트볼장",,"주차장, 화장실 등",,,2009-06-08,경상북도 상주시청,054-537-7675,2019-05-27,5110000,경상북도 상주시,
47250-00004,서곡공원,근린공원,,경상북도 상주시 외답동 산24-1 번지 일원,36.417451,128.190367,102400,,,,,,2010-06-24,경상북도 상주시청,054-537-7525,2019-05-27,5110000,경상북도 상주시,
